Agency Network,Agency,Agency Domain,Fossil Fuel Company
OMNICOM,PHD,http://www.phdstudies.com,"Petro Ofisi, Shell, Towngas"
INDEPENDENT,Pitch Digital,http://www.pitchdigital.com,"ATCO, Canadian Natural Gas Association, Canadian Association of Petroleum Producers, Canadian Energy Pipeline Association, Cenovus, Enbridge, Encana, Jordan Cove LNG, Niska Gas Storage, Ovintiv, Pembina Pipeline, Petro-Canada, Petronas Canada (Progress Energy), Repsol Canada (Talisman Energy), Sanjel, Suncor, Terado Gas Storage, TransCanada, TransNorthern Pipelines, Veresen, Vesta Energy, Zargon Oil & Gas"
INDEPENDENT,PMG,http://www.pmg.com,NRG Energy
INDEPENDENT,PolicyWonks,https://policywonks.ca/,"Galilee Energy, Hancock Prospecting, Kestrel Coal Resources"
INDEPENDENT,Poolhouse,http://www.poolhouse.co,American Petroleum Institute
INDEPENDENT,Porter O'Brien,http://www.porterobrien.com,ARC Resources
OMNICOM,Portland,http://www.travelportland.com,"BP, TotalEnergies"
INDEPENDENT,PowerDrift Studios Pvt Ltd,,GS Caltex (Chevron)
INDEPENDENT,Precision Public Affairs,https://precisionpublicaffairs.com/,APPEA
INDEPENDENT,Primary Communication Partners,https://primarycommsgroup.com.au/,"Elgas, Gas Industry Alliance"
INDEPENDENT,Propeg,http://www.propeg.com.br,Petrobras
Publicis,Publicis,http://www.publicisna.com,"Saudi Aramco, TotalEnergies"
Publicis,Publicis (Publicis Conseil),https://www.publicisconseil.fr/,Engie
Publicis,Publicis (Publicis Poland),https://www.publiciscommerce.com/offices/poland,PGE
Publicis,Publicis (Publicis Sapient MENA),https://www.publicissapient.com/,ADNOC
INDEPENDENT,Quantum Communications Group Ltd,https://quantumcommunications.co.uk/,Aker Solutions - Aker Offshore Wind
INDEPENDENT,R K Swamy,http://www.rkswamy.com,Oil and Natural Gas Corporation (ONGC)
INDEPENDENT,R&A Strategic Communications,http://www.rasc.co.za,Seriti
INDEPENDENT,Rainmaker Strategic Planning,https://rainmkr.com/strategic-planning/,Tas Gas
INDEPENDENT,Red Van Creative,http://www.redvancreative.com,Ovintiv
INDEPENDENT,ReGen Strategic,http://www.regenstrategic.com.au,Strike Energy
INDEPENDENT,Regency Global,http://www.regency.global,"BP, Engen, Exxaro, Shell, TotalEnergies"
INDEPENDENT,RepIndia,http://www.repindia.com,Adani Electricity
INDEPENDENT,Republic PR,https://www.republicpr.com.au/,Adani
INDEPENDENT,Richardson Coutts,https://www.richardsoncoutts.com/,Bengalla Mining Company
INDEPENDENT,RMB Design Solutions,https://rmbdesignsolutions.com/en/,Wintershall
INDEPENDENT,Rogalski Damaschin Public Relations,http://www.rogalskidamaschin.ro,CEZ Group
INDEPENDENT,RPA,http://www.rpa.com,ARCO
INDEPENDENT,Rud Pedersen,http://www.rudpedersen.com,"Baker Hughes Energy Services, BP, Liquid Gas Europe"
INDEPENDENT,S-3 Group,https://www.s-3group.com/,American Petroleum Institute
Publicis,Saatchi & Saatchi,http://www.wearesaatchi.com,"Ampol, OVO Energy"
